Abrichtung;2
Abrieb;1
Abriegelung;2
Abriss;1
Abrogation;2
Abroller;1
Abruf;1
Abrundung;2
Abrüstung;2
Abrüstungsexperte;1
Abrüstungsexpertin;2
Absacker;1
Absage;2
Absatz;1
Absatzanalytiker;1
Absatzanalytikerin;2
Absatzgebiet;3
Absatzgestein;3
Absatzmarkt;1
Absatzquote;2
Abschaffung;2
Abschaltung;2
Abschaum;1
Abscheidegrad;1
Abscheider;1
Abscheidung;2
Abscherung;2
Abscheu;2
Abscheu;1
Abscheulichkeit;2
Abschiebehaft;2
Abschiebung;2
Abschiebungshaft;2
Abschied;1
Abschiedsbesuch;1
Abschiedsbrief;1
Abschiedsgesuch;3
Abschiedsszene;2
Abschiedswort;3
Abschirmung;2
Abschlag;1
Abschlagszahlung;2
Abschleppdienst;1
Abschluss;1
Abschlussball;1
Abschlussbericht;1
Abschlusskonzert;3
Abschlussprüfung;2
Abschlusszeugnis;3
Abschluß;1
Abschnitt;1
Abschnürung;2
Abschottung;2
Abschreckung;2
Abschreckungsstrategie;2
Abschreibung;2
Abschrift;2
Abschrägung;2
Abschuss;1
Abschussbasis;2
Abschussliste;2
Abschussrampe;2
Abschußliste;2
Abschußrampe;2
Abschweifung;2
Abschwung;1
Abschwächer;1
Abschwächung;2
Abschätzung;2
Abschöpfung;2
Abschürfung;2
Abschüssigkeit;2
Abscisinsäure;2
Abseite;2
Abseits;3
Absence;2
Absender;1
Absenderin;2
Absenker;1
Absenkung;2
Absentismus;1
Absenz;2
Absetzbecken;3
Absetzung;2
Absicherung;2
Absicht;2
Absichtserklärung;2
Absichtssatz;1
Absinth;1
Absolutheit;2
Absolutheitsanspruch;1
Absolution;2
Absolutismus;1
Absolutist;1
Absolutistin;2
Absolutorium;3
Absolvent;1
Absolventin;2
Absonderlichkeit;2
Absonderung;2
Absorber;1
Absorptiometrie;2
Absorption;2
Absorptionsanalyse;2
Absorptionskante;2
Absorptionsspektrum;3
Absorptionsvermögen;3
Abspaltung;2
Abspann;1
Abspannung;2
Absperrung;2
Abspiel;3
Absprache;2
Absprung;1
Abstammung;2
Abstammungslehre;2
Abstand;1
Abstandssumme;2
Abstecher;1
Absteige;2
Absteigequartier;3
Absteiger;1
Absteigerin;2
Abstellbahnhof;1
Abstellfläche;2
Abstellgleis;3
Abstellplatz;1
Abstellraum;1
Abstellstreifen;1
Abstelltisch;1
Abstich;1
Abstieg;1
Abstiegskampf;1
Abstimmung;2
Abstimmungsergebnis;3
Abstimmungskampf;1
Abstinent;1
Abstinentin;2
Abstinenz;2
Abstinenzler;1
Abstinenzlerin;2
Abstoß;1
Abstoßung;2
Abstract;1
Abstract;3
Abstrahlung;2
Abstraktion;2
Abstraktionsvermögen;3
Abstraktum;3
Abstreich;1
Abstreicher;1
Abstrich;1
Abstrusität;2
Abstufung;2
Absturz;1
Abstützung;2
Absud;1
Absurdität;2
Abszess;1
Abszeß;1
Abszisse;2
Abszissenachse;2
Abt;1
Abtakelung;2
Abtastrate;2
Abtausch;1
Abtei;2
Abteil;3
Abteilung;2
Abteilungsleiter;1
Abteilungsleiterin;2
Abteilungszeichen;3
Abtrag;1
Abtragung;2
Abtransport;1
Abtreibung;2
Abtreibungspille;2
Abtreibungstouristin;2
Abtrennung;2
Abtreter;1
Abtretung;2
Abtrieb;1
Abtritt;1
Abtrockentuch;3
Abtropffläche;2
Abtötung;2
Abulie;2
Abundanz;2
Aburteilung;2
Abusus;1
Abverkauf;1
Abwahl;2
Abwanderung;2
Abwandlung;2
Abwart;1
Abwartin;2
Abwasch;2
Abwasch;1
Abwaschung;2
Abwasser;3
Abwasserreinigung;2
Abwechslung;2
Abweg;1
Abwegigkeit;2
Abwehr;2
Abwehragent;1
Abwehragentin;2
Abwehrbeamtin;2
Abwehrdienst;1
Abwehrmechanismus;1
Abwehrreaktion;2
Abwehrspieler;1
Abwehrspielerin;2
Abwehrstoff;1
Abwehrsystem;3
Abweichler;1
Abweichlerin;2
Abweichung;2
Abweiser;1
Abweisung;2
Abwendung;2
Abwerbung;2
Abwertung;2
Abwesende;2
Abwesenheit;2
Abwicklung;2
Abwind;1
Abwrackprämie;2
Abwurf;1
Abwägung;2
Abwärme;2
Abwärtstrend;1
Abyssus;1
Abzahlung;2
Abzehrung;2
Abzeichen;3
Abziehbild;3
Abzieher;1
Abziehpresse;2
Abzocke;2
Abzocker;1
Abzockerin;2
Abzug;1
Abzweigdose;2
Abzweigung;2
Abzählreim;1
Abzäunung;2
Abänderung;2
Academy Award;1
Accelerator;1
Accent aigu;1
Accent circonflexe;1
Accent grave;1
Accentus;1
Accessoire;3
Accompagnato;3
Accordatura;2
Account-Management;3
Account-Manager;1
Account-Managerin;2
Account;1
Accountant;1
Accountmanager;1
Accountmanagerin;2
Accountservice;1
Accrochage;2
Ace;3
Acerola;2
Acerolakirsche;2
Aceto balsamico;1
Achat;1
Achillesferse;2
Achillessehne;2
Achlaut;1
Achromasie;2
Achromat;1
Achromatismus;1
Achromatopsie;2
Achromie;2
Achsabstand;1
Achsdruck;1
Achse;2
Achsel;2
Achselgrube;2
Achselhöhle;2
Achselklappe;2
Achselschnur;2
Achselstreifen;1
Achselstück;3
Achselzucken;3
Achsenkreuz;3
Achsenzylinder;1
Achslager;3
Achslast;2
Achsschenkel;1
Achsstand;1
Achssturz;1
Acht;2
Achteck;3
Achtel;3
Achtelfinale;3
Achtelnote;2
Achtelpause;2
Achtender;1
Achter;1
Achterbahn;2
